UPS,AAPL,PFE,CRM,CVS,GOOG,KO,FB,IBM,AMZN
1,19,0,2,0,8,6,5,2,25
2,22,0,3,0,14,6,8,1,36
1,18,0,2,0,18,7,10,2,31
2,23,0,2,0,13,4,8,2,23
2,42,0,3,0,16,3,10,3,24
0,14,0,2,0,18,3,7,2,10
0,14,0,0,0,8,4,6,4,27
1,23,0,8,0,17,13,17,4,32
2,15,0,2,0,28,8,18,0,17
0,15,0,4,0,14,5,8,1,33
3,11,0,3,1,14,9,11,1,40
0,18,0,6,0,16,10,10,1,25
1,11,0,1,0,9,7,14,2,16
0,20,0,5,0,20,3,11,2,24
0,26,0,4,0,17,5,16,3,37
0,14,1,1,0,13,6,10,4,34
0,17,0,0,0,22,4,8,0,60
1,17,0,3,0,19,3,9,4,57
0,18,0,3,0,19,5,8,1,62
1,20,0,1,0,30,7,14,1,56
1,22,0,1,0,12,6,15,5,68
0,19,1,2,0,13,7,9,5,54
0,31,1,2,0,13,2,13,7,49
2,16,0,3,0,12,15,22,6,42
0,17,2,1,0,13,12,8,2,39
1,17,0,3,2,61,6,11,13,50
1,27,0,3,0,12,5,17,2,47
0,32,0,2,0,19,4,7,2,30
2,27,0,2,0,34,7,11,0,40
0,30,0,6,0,25,6,10,1,45
2,21,0,1,0,19,3,13,0,37
1,24,3,5,1,14,9,14,8,58
0,29,1,7,0,17,7,15,2,35
1,30,0,4,1,33,10,13,3,46
0,14,0,3,0,19,6,13,1,37
0,30,1,0,0,11,8,9,1,35
0,10,2,1,0,9,8,12,2,50
0,41,0,3,0,14,15,19,0,27
2,18,0,2,2,22,9,19,4,54
1,25,0,3,0,9,6,27,6,51
1,44,0,8,0,21,10,28,5,41
3,36,0,6,0,24,11,25,7,50
0,16,0,3,0,10,10,17,2,90
1,39,0,2,0,15,3,17,2,55
0,19,0,3,0,19,6,12,6,57
1,34,4,3,0,30,10,14,3,57
0,42,1,3,0,36,10,16,4,71
11,30,0,7,0,21,6,15,3,35
0,24,0,3,0,24,4,15,5,28
0,35,0,2,1,24,11,16,5,32
0,34,1,3,0,21,5,10,4,32
0,23,3,3,0,14,5,17,1,60
1,50,1,1,0,22,6,15,0,32
1,39,0,3,0,24,7,14,2,47
4,32,0,6,0,20,9,18,3,38
1,42,0,8,1,20,6,17,8,46
0,38,1,5,0,20,7,17,3,54
1,34,0,10,0,14,9,25,9,56
1,42,0,1,2,19,10,28,3,63
2,44,2,3,0,11,14,37,6,67
2,53,1,3,0,12,11,31,6,68
1,37,2,4,0,25,15,28,1,61
3,29,2,4,1,15,21,21,1,44
1,28,0,1,1,17,15,25,5,57
1,41,1,3,1,10,5,24,6,61
1,34,1,7,0,20,14,26,6,55
3,37,1,3,1,14,19,10,4,66
1,222,2,2,0,20,14,19,4,87
0,46,0,7,0,14,7,12,7,68
2,32,1,3,0,21,7,17,4,73
4,37,0,3,0,15,8,17,9,66
0,110,2,4,0,31,9,21,7,73
11,65,2,2,0,29,15,27,2,100
7,42,4,3,0,34,19,23,7,105
3,54,2,4,0,30,11,23,7,90
3,66,0,6,0,26,11,33,4,66
6,46,3,5,0,21,18,29,7,64
3,42,2,3,0,30,9,21,0,58
3,38,0,6,0,24,6,37,4,70
2,102,0,6,0,47,7,25,4,74
4,92,0,4,0,21,14,33,10,48
2,62,0,3,0,30,5,28,5,59
2,62,0,7,1,27,6,38,5,69
3,56,2,11,1,18,12,21,4,67
2,86,0,16,0,40,17,23,6,40
1,67,0,10,0,18,14,24,2,47
2,62,2,4,0,20,20,19,9,42
0,56,0,1,0,23,9,20,1,153
6,61,0,4,2,14,20,25,3,67
1,58,0,4,0,20,15,20,8,73
2,52,1,3,0,22,3,30,9,58
3,50,0,9,0,28,11,42,6,97
1,51,1,4,0,18,10,36,8,99
3,47,0,2,0,19,20,31,4,65
1,41,2,5,0,27,15,29,3,82
4,52,1,1,0,30,10,34,2,66
5,37,2,6,1,23,19,26,3,44
8,68,0,7,0,17,15,20,10,65
8,68,1,9,1,24,17,22,3,75
0,109,0,9,0,18,8,21,2,50
4,80,0,2,0,27,9,20,2,62
3,108,2,6,2,42,15,20,8,57
3,65,0,4,0,22,18,22,7,102
11,172,3,3,6,100,19,77,10,80
7,172,1,16,2,67,18,50,4,84
11,271,0,8,1,43,13,37,1,104
5,456,0,3,0,43,6,20,4,76
4,440,1,2,1,24,9,27,4,71
3,477,1,7,0,22,8,20,6,49
9,426,2,6,0,43,14,40,13,103
5,284,3,7,1,39,10,28,6,134
4,159,0,8,2,37,14,31,4,106
4,112,0,7,0,41,10,26,4,127
5,118,1,9,0,25,15,29,8,93
4,70,0,5,0,24,9,16,6,84
2,59,0,10,0,63,22,41,7,56
5,51,2,5,1,80,22,29,1,61
3,63,0,5,0,48,16,22,5,57
5,45,2,10,0,58,7,17,10,45
6,108,0,6,0,52,13,24,12,54
5,68,0,7,0,44,16,25,5,64
5,105,0,6,0,68,14,19,9,74
1,52,1,3,0,58,20,216,16,56
3,95,0,3,0,112,9,326,9,73
4,111,1,2,0,77,14,125,5,84
3,116,0,1,0,46,14,110,12,57
3,155,0,11,0,202,20,85,5,63
4,141,1,22,0,105,14,100,11,70
4,115,0,12,0,60,20,81,6,74
4,137,0,5,0,61,17,75,8,57
1,112,2,6,0,55,20,93,4,62
8,113,3,6,1,34,24,75,4,69
1,136,0,4,1,35,8,63,5,61
4,119,1,9,2,61,16,71,4,66
3,97,1,2,1,47,7,79,1,65
5,102,1,2,0,30,11,85,14,55
5,101,0,4,0,37,7,72,12,54
2,96,1,8,0,41,10,61,9,55
5,87,0,3,0,54,6,72,5,53
6,93,1,7,0,35,9,322,7,67
1,103,1,10,0,39,9,214,5,70
7,96,0,6,0,54,10,167,6,76
4,99,0,7,0,116,6,130,11,67
3,110,2,3,1,77,10,149,4,110
4,90,0,1,0,75,21,139,4,41
5,154,0,4,0,90,11,97,4,64
6,131,1,1,0,70,12,84,0,61
7,130,0,4,0,41,9,57,8,39
4,100,0,5,0,24,17,62,4,61
1,93,0,3,0,40,15,74,5,73
0,95,0,2,1,26,4,72,2,62
2,109,2,8,0,36,16,60,11,67
4,92,3,6,0,36,11,62,5,51
0,111,2,13,0,31,6,74,2,81
2,99,0,5,0,34,15,74,3,87
4,122,0,3,0,40,6,67,3,52
3,89,0,2,0,30,8,57,2,62
9,108,0,5,0,70,10,52,6,108
1,106,1,2,0,40,7,59,8,76
9,118,2,1,0,36,11,52,12,57
1,110,0,2,0,31,13,83,15,68
2,138,0,7,1,42,14,92,7,59
3,111,1,2,0,31,6,79,7,68
3,123,1,4,0,32,7,79,4,54
4,120,2,5,0,24,8,84,3,56
8,89,1,1,0,32,6,95,5,56
7,88,1,2,0,32,2,79,6,75
6,147,0,0,0,33,8,71,7,69
6,129,0,1,0,27,7,68,5,51
6,141,2,1,0,31,11,67,5,58
5,129,1,2,0,25,18,62,2,60
2,81,0,1,0,24,13,77,7,81
2,90,1,2,0,21,9,64,4,65
1,90,0,1,0,25,11,58,4,70
5,96,1,4,0,13,11,57,5,64
13,95,1,3,0,27,50,157,4,53
4,85,0,2,0,37,11,75,0,65
1,96,0,8,0,20,8,72,2,65
5,114,0,1,0,17,9,53,1,66
8,60,1,3,0,18,8,52,5,48
3,73,1,6,0,20,12,58,6,46
0,88,1,2,1,24,13,54,4,50
4,106,0,4,0,27,5,65,6,43
3,103,2,2,0,58,9,74,4,45
3,115,0,3,0,80,4,44,4,49
3,90,0,1,0,51,1,81,3,49
4,93,0,7,0,42,12,51,9,50
2,96,1,5,0,39,15,80,8,57
4,106,0,8,0,28,8,77,1,39
2,91,1,5,1,27,16,51,4,35
5,78,0,4,0,22,11,57,1,63
4,86,1,3,0,21,10,44,4,62
1,90,1,3,0,20,11,67,6,66
3,96,0,5,0,35,6,77,2,52
2,74,0,1,0,25,4,54,4,48
0,96,0,8,0,16,7,54,1,66
1,114,1,5,0,15,8,66,2,58
1,99,0,6,0,22,9,54,3,41
3,77,0,3,1,104,8,52,8,36
2,83,0,2,0,18,12,70,1,40
8,80,0,5,0,13,5,63,1,72
5,85,0,9,1,16,5,44,2,72
3,81,0,7,0,14,4,59,1,64
6,89,1,8,0,20,2,60,5,73
8,80,0,6,0,17,8,63,5,69
1,79,1,7,1,25,4,62,4,78
2,76,0,6,0,16,4,52,4,58
0,97,0,5,0,13,8,33,2,77
4,86,0,1,1,12,3,66,1,133
2,96,0,3,1,12,10,63,9,88
1,79,0,1,0,21,12,67,4,87
1,89,0,1,0,13,10,62,3,88
6,86,0,2,0,24,3,56,1,78
3,78,1,0,0,20,6,56,1,80
4,87,0,2,0,12,4,57,0,72
1,87,0,2,0,12,3,69,1,89
4,111,0,3,0,13,3,49,3,62
3,112,1,4,0,15,3,46,2,91
1,101,0,3,0,12,7,71,2,100
2,111,0,2,0,16,4,67,3,60
5,98,0,3,0,13,8,76,0,54
3,76,0,4,3,15,2,66,6,83
1,73,0,1,0,10,2,67,0,45
0,97,1,1,0,16,2,59,2,58
2,114,0,0,0,14,10,58,1,70
3,104,0,4,0,12,12,46,2,60
5,117,0,0,0,7,7,72,2,41
1,105,0,2,0,15,4,52,3,60
1,100,0,3,0,13,2,53,3,57
2,112,9,3,0,11,7,67,8,61
3,131,0,1,2,8,7,64,9,66
4,107,0,1,0,6,8,47,8,59
2,81,0,1,0,15,9,44,2,64
3,100,0,1,0,9,7,53,8,80
2,76,0,2,1,7,6,61,4,92
5,87,1,0,0,11,3,54,2,95
0,96,0,1,0,9,0,52,2,101
0,87,0,1,0,12,11,65,1,99
3,87,0,1,0,6,3,51,1,68
2,73,0,2,2,8,10,58,1,64
2,204,0,1,0,4,4,52,3,90
1,229,0,1,0,10,2,54,5,74
0,79,1,1,1,14,6,59,2,48
0,70,0,1,0,12,3,60,0,48
0,63,0,2,1,25,3,56,2,63
1,62,0,0,0,14,3,72,3,47
0,66,0,1,0,8,11,48,2,43
2,66,0,2,0,14,9,55,4,51
1,58,1,1,0,7,2,64,0,63
0,63,0,2,1,22,1,67,0,71
0,36,0,0,0,23,4,51,0,84
0,24,0,2,0,9,3,6,0,34
0,19,1,0,0,27,3,22,0,41
0,19,0,1,0,11,2,25,1,51
0,24,0,1,0,8,2,24,2,44
0,19,0,2,0,19,3,23,2,58
2,27,0,0,0,20,5,24,2,68
1,15,0,2,0,7,3,11,3,57
0,23,0,2,2,16,2,22,6,55
0,25,0,0,0,9,4,16,0,65
1,28,1,1,1,15,2,9,0,51
1,20,0,0,0,10,2,5,0,49
4,14,0,1,1,20,4,17,2,59
0,17,0,1,5,9,2,7,2,44
1,57,0,0,0,11,3,8,2,58
1,43,0,2,2,8,5,11,0,45
2,27,1,0,0,17,2,4,2,52
2,30,0,1,0,32,1,6,1,50
1,26,0,0,1,4,1,9,0,63
0,26,0,2,0,7,2,7,0,45
0,17,0,1,0,9,7,6,1,54
2,82,0,1,0,12,1,10,0,68
1,27,1,2,0,5,1,13,1,45
0,22,0,1,0,5,0,10,0,40
0,42,1,0,0,7,1,8,1,54
1,19,1,8,0,10,4,10,0,33
0,15,0,1,0,10,6,6,0,38
2,19,0,3,0,12,2,6,3,33
0,17,0,2,0,11,3,10,4,52
0,21,0,0,0,6,2,6,2,36
0,21,0,0,0,6,1,12,2,36
0,24,0,3,0,10,0,11,0,35
0,15,0,4,0,15,3,4,2,30
0,16,0,1,0,13,4,5,4,25
0,20,0,0,0,8,3,4,2,24
0,27,0,0,0,10,9,7,1,27
1,20,0,0,0,12,10,6,3,21
0,20,0,1,0,6,8,4,0,45
0,7,0,0,0,10,4,8,1,27
0,10,0,1,0,8,2,12,5,31
0,17,0,0,0,9,5,14,1,35
2,17,0,1,0,12,4,8,1,58
0,9,0,0,0,5,4,7,1,60
0,18,0,0,0,6,7,8,1,37
1,12,0,0,0,7,4,3,6,30
0,16,0,1,1,14,5,10,8,36
2,18,0,0,0,4,2,12,2,39
0,10,0,0,1,15,5,9,3,26
0,10,0,0,0,21,7,9,7,38
1,8,1,0,0,17,5,11,6,31
0,11,0,0,0,6,1,8,10,58
0,14,0,1,0,11,3,4,3,56
0,13,0,0,0,5,2,7,2,64
0,18,0,1,0,3,2,15,2,44
0,21,0,1,0,7,5,15,2,58
1,13,0,1,0,7,4,6,2,63
0,13,0,1,0,3,1,4,2,58
0,26,0,3,3,15,9,22,10,47
1,26,0,1,0,8,3,9,1,47
0,19,0,1,1,8,2,8,2,47
0,12,0,0,0,7,6,16,1,36
0,24,0,0,0,4,2,9,0,31
1,14,0,0,0,22,9,7,2,30
0,10,0,0,0,8,6,7,1,21
0,28,0,0,0,10,8,12,0,23
1,9,0,1,0,14,8,6,4,43
1,12,0,0,0,17,6,7,2,43
0,15,0,0,0,13,11,11,2,53
0,12,0,0,0,9,8,14,4,54
0,28,2,4,1,13,8,14,7,45
0,23,0,0,0,33,1,7,2,37
0,7,0,0,0,25,1,6,1,35
0,14,0,2,0,15,7,4,1,43
0,13,0,0,0,8,6,12,2,43
0,15,0,0,0,9,3,8,0,43
0,11,0,1,0,11,3,6,3,40
0,15,0,4,0,8,3,15,0,28
2,11,1,1,0,4,1,6,2,25
0,14,0,0,0,6,1,1,0,31
1,13,0,2,0,7,3,10,3,23
1,13,0,0,0,6,2,5,3,31
0,21,0,0,0,22,4,5,6,31
0,22,0,1,3,17,3,4,1,36
0,29,0,3,0,13,4,8,3,46
0,10,0,3,0,13,1,10,1,47
1,18,0,0,0,19,3,5,4,32
0,15,0,2,0,31,6,9,1,39
0,9,0,1,0,23,5,11,2,42
1,16,0,1,0,13,4,7,2,46
0,20,0,0,0,21,7,13,2,40
0,17,0,1,0,12,3,14,2,60
1,26,0,2,0,11,4,9,1,70
2,17,0,1,0,15,4,7,2,71
2,26,0,1,0,13,4,16,1,69
1,24,0,0,0,10,6,11,6,56
0,18,0,0,0,12,10,11,5,70
2,13,0,0,1,16,8,10,1,88
0,19,0,2,0,14,5,10,4,50
0,21,0,0,0,18,7,15,2,53
1,20,0,0,0,17,4,4,3,43
1,22,1,1,0,8,4,8,1,53
3,18,1,1,0,8,4,13,5,43
0,19,0,0,0,13,9,8,3,59
2,23,0,3,0,9,12,5,1,50
0,13,0,3,0,12,14,11,2,41
0,18,0,1,0,25,9,13,2,40
1,17,1,3,0,17,8,11,0,43
2,35,0,2,1,15,8,4,3,76
2,20,0,1,0,24,8,12,1,62
1,23,0,2,1,17,3,3,4,61
2,29,0,1,0,17,9,11,3,44
0,40,1,1,0,23,8,17,6,49
2,24,1,2,0,17,1,12,2,68
2,32,0,0,0,15,4,11,2,49
2,26,1,3,0,18,6,6,2,79
0,23,0,1,1,14,7,9,2,71
0,27,0,3,0,22,8,9,2,52
2,36,0,3,0,22,9,14,3,47
0,26,0,8,1,26,9,13,3,41
1,42,0,2,0,18,1,17,1,62
0,28,0,0,0,36,5,15,4,63
1,32,0,5,0,15,8,9,2,85
2,25,0,0,0,19,4,15,0,103
2,21,0,1,0,24,15,25,2,70
5,41,0,1,0,12,13,10,1,69
0,15,0,0,0,13,10,17,4,85
4,55,0,0,1,17,13,19,1,66
5,36,1,2,0,14,15,19,3,75
0,27,0,0,0,20,8,19,3,84
0,37,6,2,0,16,8,17,6,92
2,29,1,2,0,20,14,17,2,70
3,33,0,0,1,7,9,11,1,62
0,44,1,4,0,32,6,9,3,66
1,35,0,1,0,16,6,13,2,53
0,30,0,1,1,15,6,14,2,60
0,37,0,5,0,28,11,12,7,66
1,26,0,4,1,19,122,5,1,57
1,26,1,3,0,10,79,14,0,51
1,48,2,5,1,21,7,22,6,50
1,40,2,2,2,21,3,23,4,55
3,44,1,0,0,20,9,11,8,54
13,42,0,1,0,25,6,20,3,76
10,37,1,2,0,16,5,23,3,69
5,44,0,4,0,18,1,7,2,61
5,53,3,2,0,10,7,20,3,73
4,37,2,3,0,11,10,17,1,72
6,67,1,0,0,46,14,46,0,56
3,33,0,8,0,8,8,16,5,68
0,33,0,7,0,31,10,18,6,58
3,43,0,3,0,22,6,15,0,96
2,44,1,4,0,11,6,12,4,64
4,34,0,4,0,14,5,7,3,67
4,20,0,3,1,8,0,8,5,54
1,37,0,6,1,23,4,10,4,76
3,52,2,3,0,19,8,20,6,58
5,37,1,3,1,20,7,3,5,50
4,33,2,1,0,17,6,35,7,53
0,36,0,2,0,19,8,17,9,59
1,37,0,3,0,11,6,16,6,64
1,29,1,2,0,16,5,11,1,59
2,33,0,2,1,16,15,8,3,38
0,37,1,1,0,9,15,11,2,41
6,32,0,2,0,14,8,16,9,56
4,39,1,2,0,16,9,10,2,60
0,42,1,1,0,6,2,14,1,65
1,52,0,6,0,32,3,13,5,67
2,84,0,7,0,30,3,10,3,52
3,30,0,5,0,39,14,20,1,68
0,25,0,1,0,30,9,12,6,72
3,21,0,4,0,27,6,11,1,48
1,22,1,1,0,16,3,13,2,53
5,32,1,5,0,17,5,12,8,47
4,46,0,4,0,20,6,9,3,43
2,24,0,2,0,27,3,13,6,70
2,19,0,1,0,20,3,7,7,50
1,25,0,2,0,21,7,14,5,62
1,24,0,2,0,22,7,19,5,70
0,42,0,3,0,25,10,15,2,62
0,60,0,4,0,19,7,20,2,70
3,63,0,5,0,21,7,14,3,47
3,35,2,4,0,20,4,9,3,53
3,35,0,3,0,13,9,14,1,42
1,26,1,0,0,14,14,13,2,46
3,22,3,2,0,13,6,8,4,39
4,52,0,2,0,19,4,10,2,36
3,38,0,4,0,16,3,7,4,29
0,37,0,1,0,13,7,10,2,56
1,26,0,2,2,14,5,6,7,52
1,28,0,0,0,23,13,9,3,36
3,51,0,8,0,21,11,11,4,38
2,41,0,8,0,11,5,12,3,42
4,28,1,4,0,25,9,7,3,43
2,55,1,2,1,8,4,10,2,50
1,29,2,0,0,11,8,10,2,41
1,28,0,3,0,13,7,7,2,41
2,20,0,1,0,21,9,7,4,45
2,31,0,2,0,10,4,11,1,29
1,32,0,0,1,12,6,15,6,38
7,40,0,1,0,14,13,14,5,37
2,20,0,1,0,17,5,18,6,37
3,32,0,3,0,19,5,10,6,29
2,33,0,1,0,23,12,13,4,37
1,33,0,2,0,13,14,13,7,41
2,40,0,1,0,14,9,14,2,53
5,20,0,3,0,19,3,20,4,115
1,35,0,0,1,10,7,12,4,52
2,40,1,1,0,12,2,9,6,67
3,20,1,0,0,7,3,16,4,56
0,32,0,4,0,11,7,22,4,49
0,29,0,0,0,10,2,13,5,54
6,29,1,1,0,9,8,11,3,51
8,28,0,1,0,14,6,14,5,43
11,30,0,3,0,13,4,10,4,76
7,39,2,1,0,17,1,15,1,91
2,24,0,5,0,24,6,14,7,46
4,22,0,5,1,5,6,18,1,42
2,32,0,4,1,9,3,13,4,48
3,26,0,1,0,20,3,12,5,49
1,31,0,0,0,11,5,25,0,49
1,40,0,0,0,16,3,24,1,39
4,37,1,0,0,7,3,18,1,69
0,36,0,1,0,18,5,16,5,73
0,24,0,0,0,7,5,14,2,51
1,14,0,0,0,3,5,29,0,29
1,26,0,0,0,12,12,25,3,41
1,37,1,0,0,10,5,27,3,54
0,24,1,0,0,13,8,7,3,30
2,26,0,0,0,16,3,18,0,31
3,24,0,0,0,9,6,19,2,44
1,38,0,0,0,5,5,31,0,43
0,18,0,0,0,10,3,18,0,28
2,35,0,0,0,7,5,23,3,42
2,20,0,4,0,5,3,17,1,33
3,34,0,1,0,9,1,19,0,60
3,16,0,4,0,13,2,16,1,46
0,26,0,0,0,14,11,10,2,41
2,18,0,1,0,9,17,14,1,42
1,33,1,10,0,8,9,19,2,39
3,38,0,5,1,12,6,24,1,45
0,36,0,2,0,4,531,7,3,41
4,25,0,2,0,11,110,13,3,63
0,28,0,2,0,11,52,14,1,44
2,21,0,0,0,11,55,5,0,45
3,13,0,1,0,18,54,10,0,33
2,30,0,0,0,6,40,7,1,40
2,25,0,3,0,5,54,8,0,45
1,30,0,1,0,8,34,18,2,67
1,21,0,0,0,9,22,12,3,45
0,19,0,1,0,5,23,9,1,62
0,38,0,0,0,15,15,11,2,71
2,40,0,0,0,13,17,9,1,47
1,33,0,1,0,6,9,10,0,81
0,22,0,1,0,14,20,5,2,72
0,13,1,0,0,7,16,14,0,78
0,16,0,3,0,1,20,7,2,63
1,47,0,4,0,8,21,6,1,68
0,32,0,1,1,9,11,12,0,50
0,35,0,0,0,5,4,15,1,35
2,20,1,1,0,6,17,20,3,72
0,30,0,0,0,10,8,12,1,44
1,17,0,2,0,6,13,8,3,43
0,24,0,0,0,6,16,8,5,41
0,17,0,0,0,10,13,8,1,52
0,16,0,0,0,16,17,7,1,47
1,30,0,1,0,8,10,15,2,49
0,16,0,0,1,9,10,12,0,29
3,9,0,1,0,5,5,7,0,38
1,32,0,1,0,16,9,8,3,48
1,33,0,0,0,6,9,5,2,60
0,35,0,0,0,10,8,6,5,46
0,22,0,0,0,11,7,8,1,68
3,20,0,0,0,6,7,5,3,66
1,14,1,1,0,16,6,14,1,67
0,22,0,1,0,14,7,23,4,72
0,29,1,0,0,7,4,8,4,70
0,17,0,0,0,7,4,8,3,98
4,26,0,1,0,7,14,1,2,77
0,24,0,0,1,11,11,9,3,66
2,31,0,0,0,4,7,13,0,52
4,19,1,0,0,7,6,9,1,38
0,20,0,3,0,9,6,12,1,44
1,27,0,2,0,5,4,3,2,84
0,16,0,1,0,12,6,9,0,68
1,26,1,1,0,6,4,19,1,27
1,51,0,1,1,11,17,9,0,42
0,32,0,2,0,12,16,8,2,34
1,40,0,1,0,6,9,5,0,34
1,34,0,2,0,4,14,8,2,56
2,22,1,2,0,5,9,4,3,51
0,45,0,0,1,4,6,17,2,22
1,23,0,1,0,7,8,5,0,36
1,38,0,1,0,22,13,7,4,52
0,24,0,1,0,4,8,11,1,42
0,19,0,0,0,6,5,13,1,46
1,14,0,2,0,6,9,8,2,35
0,24,0,3,0,9,7,6,4,32
0,22,0,0,0,3,3,6,2,33
0,17,0,0,0,3,2,4,3,33
0,21,1,2,0,7,5,4,1,44
0,23,1,4,0,12,7,7,0,45
3,27,0,0,0,6,4,12,1,26
0,19,0,1,0,5,2,8,1,25
0,19,1,0,0,2,5,7,1,35
0,21,0,2,0,13,3,4,0,25
0,28,0,4,0,7,4,52,0,21
0,14,0,1,0,14,2,20,0,29
0,11,0,1,0,15,6,16,3,30
0,9,0,0,0,4,7,7,3,24
0,20,0,1,0,10,5,7,3,18
1,16,0,2,0,8,5,4,3,32
0,13,0,2,0,8,5,6,2,22
0,11,0,1,0,4,1,3,0,15
0,12,0,0,0,16,6,6,0,33
0,12,0,1,0,5,5,7,1,23
0,31,0,0,0,5,7,14,0,22
1,20,0,1,0,5,4,23,7,10
0,22,0,2,0,9,5,7,4,23
